Link,Description
https://dte.rajasthan.gov.in/assets/docs/Admission/Lateral/Lateral%20General%20Merit%20List%20(Final)%20Sorted%20by%20Appl%20ID%202024.pdf,Final Merit List(Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/Lateral/Lateral%20Entry%20Admission%202024-25%20Rejected%20List%202024.pdf,Rejected Applicant List(Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/Lateral/Cordinater Lateral Entry.pdf,Coordinator Order (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/Lateral/VIVRANIKA.pdf,Booklet (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/Lateral/ANX. 2024-25.pdf,Annexure (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/Lateral/CALENDER.pdf,Calender (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/Lateral/sheet matrix.pdf,Seat Matrix (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearNonEngg/1st Yr. Non-Engg.pdf,Second Phase for Direrct Admission from 02-09-2024 to 06-09-2024 (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearNonEngg/Main_form_ for Direct admission.pdf,Form for Direrct Admission (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearNonEngg/VACANT SEATS FOR DIRECT ADMISSION DIPLOMA NON-ENGG FIRST YEAR 2024-25.pdf,Vacant Seats for Direrct Admission (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearNonEngg/Direct Admission.pdf,Direct Admission on Institution Level (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearNonEngg/For%20DTE%20WebSite%202nd%20Allotment%20Diploma%20Non-Engg%20First%20Year%202024-25.pdf,Second Allotment List (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearNonEngg/Applied%20Upward%20Diploma%20Non-Engg%202024-25.pdf,Upward Movement List (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearNonEngg/DTE%20First%20Allotment%20Diploma%20Non-Engg%202024-25.pdf,First Allotment List (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearNonEngg/FINAL MERIT DIPLOMA NON-ENGINEERING FIRST YEAR 2024-25.pdf,Final Merit List (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearNonEngg/PROVISIONAL MERIT.pdf,Provisional Merit List (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearNonEngg/REJECTED APPLICATION.pdf,Rejected Applications (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearNonEngg/Cordinater Non engg.pdf,Coordinator Order (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearNonEngg/BOOKLET%20NE%202024-25.pdf,Booklet (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearNonEngg/Annexures%202024-25.pdf,Annexure (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearNonEngg/CALENDER%202024-25%20(1).pdf,Calender (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearNonEngg/Seat%20Matrix%201st%20Year%20(Non%20Engg.)%202024-25.pdf,Seat Matrix (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/User%20Manual%20for%20Admission%20Process%20(For%20Non-Eng.).pdf,User Manual (Admission 2024-25)
https://dte.rajasthan.gov.in/assets/docs/Admission/Graduate/FINAL MERIT.pdf,Final Merit List (NEAP 2024)
https://dte.rajasthan.gov.in/assets/docs/Admission/Graduate/ALLOTMENT LIST.pdf,Allotment List (NEAP 2024)
https://dte.rajasthan.gov.in/assets/docs/Admission/Graduate/provisional merit.pdf,Provisional Merit List (NEAP 2024)
https://dte.rajasthan.gov.in/assets/docs/Admission/Graduate/Advertisement.pdf,Advertisement
https://dte.rajasthan.gov.in/assets/docs/Admission/Graduate/Admission Booklet.pdf,NEAP 2024 Booklet
https://dte.rajasthan.gov.in/assets/docs/Admission/Graduate/Schedule.pdf,Schedule
